"","white","wage","Dany","Dmult","maemp","scht","qmab","qmab2","qvab","qvab2","paed_u","maed_u","agepa","agema","sib_u","wagebin"
"1",1,2.91685581789352,1,">=A/eq",0,2,2,2,1,2,9,9,60,59,3,1
"2",1,1.69539146637544,1,">=A/eq",0,1,5,5,5,5,0,0,56,56,0,0
"3",1,2.20412502205,0,"None",0,1,4,4,4,5,0,0,57,53,0,0
"4",1,1.92994242254645,1,"O/eq",0,3,5,4,4,5,10,10,40,41,1,1
"5",1,2.57681752485223,1,"O/eq",1,1,3,3,2,3,9,9,57,45,1,1
"6",1,1.93440840020776,0,">=A/eq",1,2,1,1,2,2,10,9,43,42,1,0
"7",1,2.13374030054547,0,"None",0,1,4,1,2,1,0,0,43,38,1,1
"8",1,2.37572746747173,1,"O/eq",1,1,5,4,4,3,11,11,46,45,1,1
"9",1,2.8337007923983,1,">=A/eq",0,1,5,4,3,1,10,9,43,43,0,1
"10",1,2.01305082649923,1,"O/eq",1,3,2,5,4,5,10,10,47,40,3,1
"11",1,2.57670602458529,1,">=A/eq",0,3,5,5,4,4,9,9,37,37,0,1
"12",1,1.76430003158748,0,"None",1,2,4,2,1,2,9,9,55,53,1,0
"13",1,2.01074107969179,0,"None",0,2,3,1,1,1,11,11,45,43,2,0
"14",1,2.136703356402,1,"O/eq",0,1,4,4,1,4,9,9,41,40,0,0
"15",1,1.39489432820119,1,"O/eq",1,1,1,2,1,1,10,10,42,36,1,0
"16",1,3.17277543875389,1,">=A/eq",1,1,3,4,3,4,10,17,43,42,2,1
"17",1,1.98291579680517,0,"None",0,1,4,4,3,3,11,10,42,45,2,0
"18",1,1.86213498050347,1,">=A/eq",1,3,2,3,4,5,9,9,44,42,1,0
"19",1,2.75701022031717,1,">=A/eq",0,3,5,5,4,5,0,0,37,37,0,1
"20",1,1.46060919831507,1,"O/eq",0,1,5,3,2,4,11,11,48,44,2,0
"21",1,1.90071211359464,0,"None",0,2,3,4,3,3,9,9,50,48,0,0
"22",1,1.89181895251386,1,"O/eq",1,2,3,2,2,4,9,9,42,41,2,0
"23",1,1.78486995934509,1,">=A/eq",1,3,5,5,4,5,9,9,46,41,0,1
"24",1,2.39346238435246,1,">=A/eq",0,1,4,5,3,3,11,9,44,44,0,1
"25",1,2.0503539792262,1,"O/eq",0,1,3,2,1,1,9,9,51,51,0,0
"26",1,1.6676097989548,1,"O/eq",0,1,2,2,1,1,0,0,55,54,0,0
"27",1,2.59669812093488,1,">=A/eq",1,1,3,4,4,3,11,11,48,48,0,1
"28",1,1.32354608480818,0,"None",0,2,4,2,5,3,9,9,46,39,2,0
"29",1,1.72533143823966,1,">=A/eq",0,2,4,2,1,2,10,9,49,48,3,0
"30",1,1.95460326178,1,">=A/eq",1,4,5,5,4,5,11,10,36,37,1,0
"31",1,2.60288182157091,1,"O/eq",1,2,1,2,2,2,9,9,60,55,1,1
"32",1,2.22145945951343,1,">=A/eq",1,4,5,4,4,5,18,15,50,37,2,1
"33",1,2.20238295616582,0,"None",1,1,2,2,1,1,9,9,41,39,3,0
"34",1,2.94029688951559,0,">=A/eq",0,1,5,2,1,2,0,0,49,46,3,1
"35",1,1.71997744799592,0,"None",0,1,1,4,3,1,9,9,43,40,0,0
"36",1,2.44007929717191,0,"None",1,1,3,4,1,2,9,10,38,37,4,0
"37",1,1.23955230577849,1,">=A/eq",0,1,4,3,1,2,10,10,40,39,2,0
"38",1,1.41318759275601,1,">=A/eq",0,1,4,4,5,5,10,10,39,38,3,0
"39",1,2.03587475512176,1,">=A/eq",1,2,3,3,3,3,9,9,48,44,3,1
"40",1,2.6028311077971,1,">=A/eq",0,1,3,4,4,4,0,0,42,38,0,1
"41",1,2.13947349041701,1,">=A/eq",1,4,4,4,4,2,9,9,69,55,0,1
"42",1,1.29345109732822,1,"O/eq",0,2,4,5,4,3,9,9,44,43,0,0
"43",1,1.87937185959891,0,"O/eq",0,2,2,1,3,1,9,9,45,40,0,0
"44",1,1.64985493896529,0,"None",1,1,3,1,4,1,9,9,43,38,2,0
"45",1,2.33788055996411,1,">=A/eq",0,2,2,3,2,3,9,9,48,48,1,0
"46",1,2.48732718103565,1,">=A/eq",1,3,2,5,4,5,11,11,43,42,1,1
"47",1,1.82626725221053,1,"O/eq",0,2,5,2,4,4,13,11,44,43,0,1
"48",0,2.11415573768318,1,">=A/eq",1,1,2,4,4,2,9,9,45,43,2,1
"49",1,1.65224325819872,1,">=A/eq",1,1,4,3,5,4,11,10,44,40,3,0
"50",1,2.30310130841099,0,"None",0,1,3,2,3,2,9,10,51,48,2,0
"51",1,2.43580322619528,1,">=A/eq",0,1,1,3,2,2,11,9,45,45,1,1
"52",1,1.97539931396022,0,"None",1,1,1,2,2,3,9,10,43,33,3,0
"53",1,1.87141476292163,1,">=A/eq",0,3,3,5,5,5,18,10,45,40,2,0
"54",1,2.09656971693039,1,">=A/eq",0,1,3,4,5,3,9,9,43,43,0,1
"55",1,1.81104615423828,0,">=A/eq",0,2,2,2,2,1,9,9,54,51,1,0
"56",1,2.16019698814489,0,"O/eq",1,1,4,1,3,2,9,9,53,53,4,0
"57",1,2.3554976657033,0,"None",0,1,1,4,2,1,9,10,43,37,2,0
"58",1,1.4782237666659,1,"O/eq",0,1,1,2,5,3,9,9,40,41,0,0
"59",1,1.57690685847774,0,"None",0,2,3,1,1,1,10,10,45,44,6,0
"60",1,1.74826540914365,0,"None",0,2,2,2,2,2,9,10,52,49,0,0
"61",1,2.19346680282615,0,"None",0,1,2,3,2,3,9,9,40,38,0,0
"62",1,0.770736065693199,0,"None",0,1,1,1,1,1,9,9,48,47,0,0
"63",1,1.89368921541609,0,">=A/eq",0,1,3,2,3,1,9,9,48,40,0,0
"64",1,2.3911915642675,1,">=A/eq",1,3,5,4,3,5,9,11,45,45,3,1
"65",1,2.75651937373914,1,"O/eq",1,1,4,4,2,4,9,9,45,43,6,1
"66",1,1.24240679154172,1,"O/eq",0,3,5,5,4,5,9,9,45,41,3,0
"67",1,1.6917035668157,0,">=A/eq",0,2,3,2,2,3,9,9,44,41,3,0
"68",1,2.1716919944156,1,">=A/eq",0,4,2,3,4,5,9,9,56,50,0,1
"69",1,1.52149926451966,1,"O/eq",1,1,3,4,2,5,9,9,41,40,2,0
